Tâches,Importance,Poids,Priorité,Deadline,Done
Finir Airtable,6,1,6,25/9/2019,checked
Tutoriel Adobe XD,4,2,8,27/9/2019,checked
Zoning,8,9,72,1/9/2019,checked
Wireframe,9,8,72,1/10/2019,checked
Mock Up Adobe XD,8,3,24,3/10/2019,checked
Menu,2,3,6,4/10/2019,checked
Image de nous,2,5,10,4/10/2019,checked
Page Accueil,9,9,81,4/10/2019,checked
Page expérience,8,8,64,6/10/2019,checked
Page formation,8,8,64,6/10/2019,checked
Page compétences,8,8,64,6/10/2019,checked
Page Hobbies,8,8,64,5/10/2019,checked
Vidéo pour Hobbies,2,3,6,5/10/2019,checked
Formulaire de contact,4,5,20,5/10/2019,checked
Animation,2,3,6,6/10/2019,checked